# Source name  →  the name the model is served under in public/models/.
#
# Models arrive named by whoever made them — `macbook-pro-16` from Apple, `Mac_Pro` and
# `SOCKET__DE_PISO` from Sketchfab, `USB-C_Charging_Cable_Type-C__Type-C` from a store
# listing — and four naming conventions in one directory is three too many. Everything
# under public/models/ is camelCase; this is where the two are reconciled.
#
# The source name is what still identifies a model everywhere upstream of that directory:
# the .usdz in tmp/ keeps it, and it is what you pass to `npm run convert`. Only the
# output is renamed.
#
# Read by scripts/convert-usdz.sh, scripts/import-apple-models.sh and
# scripts/shrink-glb.mjs. A source with no line here falls back to a mechanical
# conversion, so a new .usdz dropped into tmp/ still lands on a camelCase name without
# needing an edit — add a line only when the mechanical answer reads badly, which for a
# name like `Black_Computer_Chair_-_Mesh_Back_Support` it does.
#
# One `source<TAB>result` pair per line, no extension on either.

# From tmp/*.usdz, via `npm run convert`.
3D_Printer	printer3d
AirPods_Max	airPodsMax
BenQ_Screenbar_Halo	benqScreenbar
BenQ_Screenbar_Halo_Remote	benqScreenbarRemote
Blender_Mug_for_Blender	blenderMug
Black_Computer_Chair_-_Mesh_Back_Support	officeChair
Blind_curtain	blindCurtain
Books_Set_1	booksSet1
Cable_holder	cableHolder
Composition_of_frames_for_wall_decoration	wallFrames
Desk	desk
Dumbbells	dumbbells
Free_Wall_outlets_and_switches_pack	wallOutlets
Holow_Knight	hollowKnight
Hornet	hornet
Lenovo_laptop	penDisplay
Mac_Pro	macPro
Paper_Tablet	paperTablet
Power_Plug_-Outlet_-Adapter__Connector_Strip	powerStrip
Power_cable_hight-poly	powerCable
Random_Books	books
SOCKET__DE_PISO	floorSocket
Standard_Mirror_Rubiks_Cube_Silver	rubiksCube
USB-C_Charging_Cable_Type-C__Type-C	usbCable
low_poly_sticky_notes	stickyNotes
Workplace	workplace

# From the WorkDesk3D asset pack, via `npm run apple`.
apple-pencil	applePencil
apple-watch-se	appleWatchSe
carpet	carpet
guitar-on-stand	guitarOnStand
ipad-pro	ipadPro
macbook-pro-16	macbookPro16
magic-keyboard	magicKeyboard
magic-mouse	magicMouse
magic-trackpad	magicTrackpad
pro-display-xdr	proDisplayXdr
